Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s
69.54294564401702,56.6713054743159,37176.58342454888
58.09471643724594,10.515973060144555,37157.420116237336
59.605493550454206,56.754827473572924,37074.067342002425
55.43175973678817,147.02401455245712,37255.36696300044
67.17384382621111,56.90316605806427,37062.319050961116
131.38815182897164,56.74524292637331,37058.62449374402
131.95690177600554,10.127506621453252,37315.90319011566
47.49955719208953,57.13097875279358,37133.157745756325
66.08444954430828,133.32691027041216,36989.79053571876
48.424473430626726,56.83295474224769,37237.75728570731
