Activity_Type,Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep type duration_minutes,Sleep duration_minutes,Floors climbed___floors
2,88.65410905895257,56.957093537982125,37133.5823123976,7.45961405173222,13.319395403706276,1.0011218882926562
6,139.68431432204767,56.95472123599058,109289.73239144952,7.432088942434717,13.353814798460164,0.9984647196240403
6,83.3309613073476,57.05481438989391,17182.688230540723,7.433117744746044,13.296876308978213,0.9993762105372953
1,51.111262079842334,56.9593858533347,37187.33550160983,5.402437236258282,1.2119836503353951,1.0003648906055302
2,82.97808892077593,57.03134788309296,37113.69196084603,7.397306792764964,13.349231502126313,0.9994888598537698
4,64.16674037311878,56.960338120694395,37182.48434848647,7.4267395674094905,13.281609469182783,1.000006926255164
6,89.2526418719803,131.94302646537247,22473.368466695258,7.406269781266061,13.30710784179054,0.99872164118402
4,50.912179802680264,57.00563353525016,37264.297094175905,7.4261444106409,13.312886864132613,0.999656384501943
4,63.62429191222509,155.32231159264282,37136.627548959645,7.398393439994535,13.287769013590392,0.9992601478887397
6,93.34006053107504,157.78865375784477,116166.59275553185,7.41938222054074,13.352745548239337,0.9998436223841339
